[ 2025-02-17 13:48:44,543 ] 24 networksecurity.logging - INFO - Logging system initialized successfully!
[ 2025-02-17 13:48:48,969 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-17 13:48:54,103 ] 91 root - INFO - Performed train test split on the dataframe
[ 2025-02-17 13:48:54,103 ] 93 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-17 13:48:54,103 ] 101 root - INFO - Exporting train and test file path.
[ 2025-02-17 13:48:54,240 ] 110 root - INFO - Exported train and test file path.
[ 2025-02-17 13:48:54,240 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-17 13:48:54,298 ] 29 root - INFO - Initiate the data Validation
[ 2025-02-17 13:48:54,382 ] 37 root - INFO - Required number of columns:2
