[ 2025-02-18 20:29:53,220 ] 24 networksecurity.logging - INFO - Logging system initialized successfully!
[ 2025-02-18 20:29:57,324 ] 25 root - INFO - Initiating the data ingestion process
[ 2025-02-18 20:30:03,387 ] 91 root - INFO - Performed train test split on the dataframe
[ 2025-02-18 20:30:03,388 ] 93 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-18 20:30:03,389 ] 101 root - INFO - Exporting train and test file path.
[ 2025-02-18 20:30:03,547 ] 110 root - INFO - Exported train and test file path.
[ 2025-02-18 20:30:03,548 ] 27 root - INFO - Data ingestion completed
[ 2025-02-18 20:30:03,558 ] 34 root - INFO - Initiating the data validation process
[ 2025-02-18 20:30:03,650 ] 32 root - INFO - Required number of columns:2
[ 2025-02-18 20:30:03,650 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-18 20:30:03,650 ] 32 root - INFO - Required number of columns:2
[ 2025-02-18 20:30:03,650 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-18 20:30:03,983 ] 36 root - INFO - Data validation completed
[ 2025-02-18 20:30:03,984 ] 42 root - INFO - intitaing the data transformation
[ 2025-02-18 20:30:04,040 ] 38 root - INFO - knnimputer is intialised
[ 2025-02-18 20:30:04,065 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-18 20:30:04,069 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-18 20:30:04,069 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-18 20:30:04,074 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-18 20:30:04,076 ] 44 root - INFO - data transformation is completed
[ 2025-02-18 20:30:04,077 ] 48 root - INFO - model trainer is statred
